sg	set	trm	hm	xyz
113	2	a-b,a+b,c	C -4 m 21	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-y,-x+1/2,-z;y,x+1/2,-z;x,-y+1/2,z;-x,y+1/2,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
114	1	a,b,c	P -4 21 c	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2
114	2	a-b,a+b,c	C -4 c 21	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-y,-x+1/2,-z+1/2;y,x+1/2,-z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
115	1	a,b,c	P -4 m 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x,-y,z;-x,y,z;y,x,-z;-y,-x,-z
115	2	a-b,a+b,c	C -4 2 m	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;y,x,z;-y,-x,z;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
116	1	a,b,c	P -4 c 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x,-y,z+1/2;-x,y,z+1/2;y,x,-z+1/2;-y,-x,-z+1/2
116	2	a-b,a+b,c	C -4 2 c	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;y,x,z+1/2;-y,-x,z+1/2;-x,y,-z+1/2;x,-y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2
117	1	a,b,c	P -4 b 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;y+1/2,x+1/2,-z;-y+1/2,-x+1/2,-z
117	2	a-b,a+b,c	C -4 2 g1	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;y,x+1/2,z;-y,-x+1/2,z;-x,y+1/2,-z;x,-y+1/2,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
118	1	a,b,c	P -4 n 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;y+1/2,x+1/2,-z+1/2;-y+1/2,-x+1/2,-z+1/2
118	2	a-b,a+b,c	C -4 2 g2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;y,x+1/2,z+1/2;-y,-x+1/2,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
119	1	a,b,c	I -4 m 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x,-y,z;-x,y,z;y,x,-z;-y,-x,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;y+1/2,x+1/2,-z+1/2;-y+1/2,-x+1/2,-z+1/2
119	2	a-b,a+b,c	F -4 2 m	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;y,x,z;-y,-x,z;-x,y,-z;x,-y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;y,-x+1/2,-z+1/2;-y,x+1/2,-z+1/2;y,x+1/2,z+1/2;-y,-x+1/2,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
120	1	a,b,c	I -4 c 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;x,-y,z+1/2;-x,y,z+1/2;y,x,-z+1/2;-y,-x,-z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;y+1/2,x+1/2,-z;-y+1/2,-x+1/2,-z
120	2	a-b,a+b,c	F -4 2 c	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;y,x,z+1/2;-y,-x,z+1/2;-x,y,-z+1/2;x,-y,-z+1/2;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;y,-x+1/2,-z+1/2;-y,x+1/2,-z+1/2;y,x+1/2,z;-y,-x+1/2,z;-x,y+1/2,-z;x,-y+1/2,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2
121	1	a,b,c	I -4 2 m	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-x,y,-z;x,-y,-z;-y,-x,z;y,x,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2
121	2	a-b,a+b,c	F -4 m 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-y,-x,-z;y,x,-z;x,-y,z;-x,y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;y,-x+1/2,-z+1/2;-y,x+1/2,-z+1/2;-y,-x+1/2,-z+1/2;y,x+1/2,-z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
122	1	a,b,c	I -4 2 d	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-x+1/2,y,-z+3/4;x+1/2,-y,-z+3/4;-y+1/2,-x,z+3/4;y+1/2,x,z+3/4;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2;-x,y+1/2,-z+1/4;x,-y+1/2,-z+1/4;-y,-x+1/2,z+1/4;y,x+1/2,z+1/4
122	2	a-b,a+b,c	F -4 d 2	x,y,z;-x,-y,z;y,-x,-z;-y,x,-z;-y+1/4,-x+1/4,-z+3/4;y+1/4,x+1/4,-z+3/4;x+1/4,-y+1/4,z+3/4;-x+1/4,y+1/4,z+3/4;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;y,-x+1/2,-z+1/2;-y,x+1/2,-z+1/2;-y-1/4,-x+1/4,-z+1/4;y-1/4,x+1/4,-z+1/4;x-1/4,-y+1/4,z+1/4;-x-1/4,y+1/4,z+1/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;-y+3/4,-x+3/4,-z+3/4;y+3/4,x+3/4,-z+3/4;x+3/4,-y+3/4,z+3/4;-x+3/4,y+3/4,z+3/4;-y+1/4,-x+3/4,-z+1/4;y+1/4,x+3/4,-z+1/4;x+1/4,-y+3/4,z+1/4;-x+1/4,y+3/4,z+1/4
123	1	a,b,c	P 4/m m m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x,y,-z;x,-y,-z;y,x,-z;-y,-x,-z;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;x,-y,z;-x,y,z;-y,-x,z;y,x,z
123	2	a-b,a+b,c	C 4/m m m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-y,-x,-z;y,x,-z;-x,y,-z;x,-y,-z;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;y,x,z;-y,-x,z;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
124	1	a,b,c	P 4/m c c	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x,y,-z+1/2;x,-y,-z+1/2;y,x,-z+1/2;-y,-x,-z+1/2;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;x,-y,z+1/2;-x,y,z+1/2;-y,-x,z+1/2;y,x,z+1/2
124	2	a-b,a+b,c	C 4/m c c	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-y,-x,-z+1/2;y,x,-z+1/2;-x,y,-z+1/2;x,-y,-z+1/2;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;y,x,z+1/2;-y,-x,z+1/2;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;-y+1/2,-x+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
125	1	a,b,c	P 4/n b m  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z;y,-x+1/2,z;-x+1/2,y,-z;x,-y+1/2,-z;y,x,-z;-y+1/2,-x+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z;y+1/2,-x,-z;-y,x+1/2,-z;x+1/2,-y,z;-x,y+1/2,z;-y,-x,z;y+1/2,x+1/2,z
125	2	a-b,a+b,c	C 4/e m g1 :2	x,y,z;-x,-y+1/2,z;-y+1/4,x+1/4,z;y-1/4,-x+1/4,z;-y+1/4,-x+1/4,-z;y-1/4,x+1/4,-z;-x,y,-z;x,-y+1/2,-z;-x,-y,-z;x,y+1/2,-z;y+1/4,-x+1/4,-z;-y-1/4,x+1/4,-z;y+1/4,x+1/4,z;-y-1/4,-x+1/4,z;x,-y,z;-x,y+1/2,z;x+1/2,y+1/2,z;-y+3/4,x+3/4,z;y+1/4,-x+3/4,z;-y+3/4,-x+3/4,-z;y+1/4,x+3/4,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;y+3/4,-x+3/4,-z;-y+1/4,x+3/4,-z;y+3/4,x+3/4,z;-y+1/4,-x+3/4,z;x+1/2,-y+1/2,z
125	3	a,b,c;-1/4,-1/4,0	P 4/n b m :1	x,y,z;y,x,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;-y+1/2,-x+1/2,z;y+1/2,x+1/2,z
125	4	a-b,a+b,c;-1/4,-1/4,0	C 4/e m g1 :1	x,y,z;-y+1/2,x+1/2,z;y-1/2,-x+1/2,z;-y+1/2,-x+1/2,-z;y-1/2,x+1/2,-z;-x,y,-z;-x,-y+1/2,-z;x,y+1/2,-z;y,-x+1/2,-z;-y,x+1/2,-z;y,x+1/2,z;-y,-x+1/2,z;x,-y+1/2,z;-x,y+1/2,z;x+1/2,y+1/2,z;-x+1/2,-y+3/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+3/2,-z
126	1	a,b,c	P 4/n n c  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z;y,-x+1/2,z;-x+1/2,y,-z+1/2;x,-y+1/2,-z+1/2;y,x,-z+1/2;-y+1/2,-x+1/2,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;y+1/2,-x,-z;-y,x+1/2,-z;x+1/2,-y,z+1/2;-x,y+1/2,z+1/2;-y,-x,z+1/2;y+1/2,x+1/2,z+1/2
126	2	a-b,a+b,c	C 4/e c g2 :2	x,y,z;-x,-y+1/2,z;-y+1/4,x+1/4,z;y-1/4,-x+1/4,z;-y+1/4,-x+1/4,-z+1/2;y-1/4,x+1/4,-z+1/2;-x,y,-z+1/2;x,-y+1/2,-z+1/2;-x,-y,-z;x,y+1/2,-z;y+1/4,-x+1/4,-z;-y-1/4,x+1/4,-z;y+1/4,x+1/4,z+1/2;-y-1/4,-x+1/4,z+1/2;x,-y,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-y+3/4,x+3/4,z;y+1/4,-x+3/4,z;-y+3/4,-x+3/4,-z+1/2;y+1/4,x+3/4,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;y+3/4,-x+3/4,-z;-y+1/4,x+3/4,-z;y+3/4,x+3/4,z+1/2;-y+1/4,-x+3/4,z+1/2;x+1/2,-y+1/2,z+1/2
126	3	a,b,c;-1/4,-1/4,-1/4	P 4/n n c :1	x,y,z;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2
126	4	a-b,a+b,c;-1/4,-1/4,-1/4	C 4/e c g2 :1	x,y,z;-y+1/2,x+1/2,z;y-1/2,-x+1/2,z;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;y,-x+1/2,-z+1/2;-y,x+1/2,-z+1/2;y,x+1/2,z+1/2;-y,-x+1/2,z+1/2;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+3/2,z
127	1	a,b,c	P 4/m b m	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;y+1/2,x+1/2,-z;-y+1/2,-x+1/2,-z;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z;-y+1/2,-x+1/2,z;y+1/2,x+1/2,z
127	2	a-b,a+b,c	C 4/m m g1	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-y,-x+1/2,-z;y,x+1/2,-z;-x,y+1/2,-z;x,-y+1/2,-z;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;y,x+1/2,z;-y,-x+1/2,z;x,-y+1/2,z;-x,y+1/2,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z;y+1/2,-x+1/2,z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z;-y+1/2,x+1/2,-z
128	1	a,b,c	P 4/m n c	x,y,z;-x,-y,z;-y,x,z;y,-x,z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;-y+1/2,-x+1/2,-z+1/2;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;y+1/2,x+1/2,z+1/2
128	2	a+b,-a+b,c	C 4/m c g2	x,y,z;-x,-y,z;-y,x,z;y,-x,z;y+1/2,x,-z+1/2;-y+1/2,-x,-z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x,-y,-z;x,y,-z;y,-x,-z;-y,x,-z;-y+1/2,-x,z+1/2;y+1/2,x,z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2;x+1/2,y-1/2,z;-x+1/2,-y-1/2,z;-y+1/2,x-1/2,z;y+1/2,-x-1/2,z;-x+1/2,-y-1/2,-z;x+1/2,y-1/2,-z;y+1/2,-x-1/2,-z;-y+1/2,x-1/2,-z
129	1	a,b,c	P 4/n m m  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z;y,-x+1/2,z;-x,y+1/2,-z;x+1/2,-y,-z;y+1/2,x+1/2,-z;-y,-x,-z;-x,-y,-z;x+1/2,y+1/2,-z;y+1/2,-x,-z;-y,x+1/2,-z;x,-y+1/2,z;-x+1/2,y,z;-y+1/2,-x+1/2,z;y,x,z
129	2	a-b,a+b,c	C 4/e m m :2	x,y,z;-x,-y+1/2,z;-y+1/4,x+1/4,z;y-1/4,-x+1/4,z;-y-1/4,-x+1/4,-z;y+1/4,x+1/4,-z;-x,y+1/2,-z;x,-y,-z;-x,-y,-z;x,y+1/2,-z;y+1/4,-x+1/4,-z;-y-1/4,x+1/4,-z;y-1/4,x+1/4,z;-y+1/4,-x+1/4,z;x,-y+1/2,z;-x,y,z;x+1/2,y+1/2,z;-y+3/4,x+3/4,z;y+1/4,-x+3/4,z;-y+1/4,-x+3/4,-z;y+3/4,x+3/4,-z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;y+3/4,-x+3/4,-z;-y+1/4,x+3/4,-z;y+1/4,x+3/4,z;-y+3/4,-x+3/4,z;-x+1/2,y+1/2,z
129	3	a,b,c;-1/4,1/4,0	P 4/n m m :1	x,y,z;-y+1/2,x-1/2,z;y+1/2,-x+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y-1/2,-z;-y,-x,-z;-x+1/2,-y-1/2,-z;x+1/2,y+1/2,-z;-y,x,-z;x,-y,z;-y+1/2,-x+1/2,z;y+1/2,x-1/2,z
129	4	a-b,a+b,c;-1/4,1/4,0	C 4/e m m :1	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z;y,-x+1/2,z;-y,-x+1/2,-z;y+1/2,x,-z;-x+1/2,y+1/2,-z;x,-y,-z;-x+1/2,-y,-z;x,y+1/2,-z;y+1/2,-x+1/2,-z;-y,x,-z;y,x,z;-y+1/2,-x+1/2,z;x,-y+1/2,z;-x+1/2,y,z;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z
130	1	a,b,c	P 4/n c c  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z;y,-x+1/2,z;-x,y+1/2,-z+1/2;x+1/2,-y,-z+1/2;y+1/2,x+1/2,-z+1/2;-y,-x,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;y+1/2,-x,-z;-y,x+1/2,-z;x,-y+1/2,z+1/2;-x+1/2,y,z+1/2;-y+1/2,-x+1/2,z+1/2;y,x,z+1/2
130	2	a-b,a+b,c	C 4/e c c :2	x,y,z;-x,-y+1/2,z;-y+1/4,x+1/4,z;y-1/4,-x+1/4,z;-y-1/4,-x+1/4,-z+1/2;y+1/4,x+1/4,-z+1/2;-x,y+1/2,-z+1/2;x,-y,-z+1/2;-x,-y,-z;x,y+1/2,-z;y+1/4,-x+1/4,-z;-y-1/4,x+1/4,-z;y-1/4,x+1/4,z+1/2;-y+1/4,-x+1/4,z+1/2;x,-y+1/2,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-y+3/4,x+3/4,z;y+1/4,-x+3/4,z;-y+1/4,-x+3/4,-z+1/2;y+3/4,x+3/4,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;y+3/4,-x+3/4,-z;-y+1/4,x+3/4,-z;y+1/4,x+3/4,z+1/2;-y+3/4,-x+3/4,z+1/2;-x+1/2,y+1/2,z+1/2
130	3	a,b,c;-1/4,1/4,0	P 4/n c c :1	x,y,z;-y+1/2,x-1/2,z;y+1/2,-x+1/2,z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y-1/2,-z+1/2;-y,-x,-z+1/2;-x+1/2,-y-1/2,-z;x+1/2,y+1/2,-z;-y,x,-z;x,-y,z+1/2;-y+1/2,-x+1/2,z+1/2;y+1/2,x-1/2,z+1/2
130	4	a-b,a+b,c;-1/4,1/4,0	C 4/e c c :1	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z;y,-x+1/2,z;-y,-x+1/2,-z+1/2;y+1/2,x,-z+1/2;-x+1/2,y+1/2,-z+1/2;x,-y,-z+1/2;-x+1/2,-y,-z;x,y+1/2,-z;y+1/2,-x+1/2,-z;-y,x,-z;y,x,z+1/2;-y+1/2,-x+1/2,z+1/2;x,-y+1/2,z+1/2;-x+1/2,y,z+1/2;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z+1/2;-y+1/2,x+1/2,-z;y+1/2,x+1/2,z+1/2
131	1	a,b,c	P 42/m m c	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;-x,y,-z;x,-y,-z;y,x,-z+1/2;-y,-x,-z+1/2;-x,-y,-z;x,y,-z;y,-x,-z+1/2;-y,x,-z+1/2;x,-y,z;-x,y,z;-y,-x,z+1/2;y,x,z+1/2
131	2	a-b,a+b,c	C 42/m c m	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;-y,-x,-z;y,x,-z;-x,y,-z+1/2;x,-y,-z+1/2;-x,-y,-z;x,y,-z;y,-x,-z+1/2;-y,x,-z+1/2;y,x,z;-y,-x,z;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
132	1	a,b,c	P 42/m c m	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;-x,y,-z+1/2;x,-y,-z+1/2;y,x,-z;-y,-x,-z;-x,-y,-z;x,y,-z;y,-x,-z+1/2;-y,x,-z+1/2;x,-y,z+1/2;-x,y,z+1/2;-y,-x,z;y,x,z
132	2	a-b,a+b,c	C 42/m m c	x,y,z;-x,-y,z;-y,x,z+1/2;y,-x,z+1/2;-y,-x,-z+1/2;y,x,-z+1/2;-x,y,-z;x,-y,-z;-x,-y,-z;x,y,-z;y,-x,-z+1/2;-y,x,-z+1/2;y,x,z+1/2;-y,-x,z+1/2;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-y+1/2,x+1/2,z+1/2;y+1/2,-x+1/2,z+1/2;-y+1/2,-x+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;y+1/2,-x+1/2,-z+1/2;-y+1/2,x+1/2,-z+1/2;y+1/2,x+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
133	1	a,b,c	P 42/n b c  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z+1/2;y,-x+1/2,z+1/2;-x+1/2,y,-z;x,-y+1/2,-z;y,x,-z+1/2;-y+1/2,-x+1/2,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;y+1/2,-x,-z+1/2;-y,x+1/2,-z+1/2;x+1/2,-y,z;-x,y+1/2,z;-y,-x,z+1/2;y+1/2,x+1/2,z+1/2
133	2	a-b,a+b,c	C 42/e c g1 :2	x,y,z;-x,-y+1/2,z;-y+1/4,x+1/4,z+1/2;y-1/4,-x+1/4,z+1/2;-y+1/4,-x+1/4,-z;y-1/4,x+1/4,-z;-x,y,-z+1/2;x,-y+1/2,-z+1/2;-x,-y,-z;x,y+1/2,-z;y+1/4,-x+1/4,-z+1/2;-y-1/4,x+1/4,-z+1/2;y+1/4,x+1/4,z;-y-1/4,-x+1/4,z;x,-y,z+1/2;-x,y+1/2,z+1/2;x+1/2,y+1/2,z;-y+3/4,x+3/4,z+1/2;y+1/4,-x+3/4,z+1/2;-y+3/4,-x+3/4,-z;y+1/4,x+3/4,-z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;y+3/4,-x+3/4,-z+1/2;-y+1/4,x+3/4,-z+1/2;y+3/4,x+3/4,z;-y+1/4,-x+3/4,z;x+1/2,-y+1/2,z+1/2
133	3	a,b,c;-1/4,1/4,-1/4	P 42/n b c :1	x,y,z;-y+1/2,x-1/2,z+1/2;y+1/2,-x+1/2,z+1/2;x,-y,-z+1/2;-x+1/2,-y-1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y-1/2,z;-x+1/2,y+1/2,z;-y,-x,z+1/2
133	4	a-b,a+b,c;-1/4,1/4,-1/4	C 42/e c g1 :1	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z+1/2;y,-x+1/2,z+1/2;-y+1/2,-x+1/2,-z+1/2;y,x,-z+1/2;-x+1/2,-y,-z+1/2;x,y+1/2,-z+1/2;y+1/2,x,z;-y,-x+1/2,z;x,-y,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,z;y+1/2,x+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
134	1	a,b,c	P 42/n n m  [origin 2]	x,y,z;-x+1/2,-y+1/2,z;-y+1/2,x,z+1/2;y,-x+1/2,z+1/2;-x+1/2,y,-z+1/2;x,-y+1/2,-z+1/2;y,x,-z;-y+1/2,-x+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z;y+1/2,-x,-z+1/2;-y,x+1/2,-z+1/2;x+1/2,-y,z+1/2;-x,y+1/2,z+1/2;-y,-x,z;y+1/2,x+1/2,z
134	2	a-b,a+b,c	C 42/e m g2 :2	x,y,z;-x,-y+1/2,z;-y+1/4,x+1/4,z+1/2;y-1/4,-x+1/4,z+1/2;-y+1/4,-x+1/4,-z+1/2;y-1/4,x+1/4,-z+1/2;-x,y,-z;x,-y+1/2,-z;-x,-y,-z;x,y+1/2,-z;y+1/4,-x+1/4,-z+1/2;-y-1/4,x+1/4,-z+1/2;y+1/4,x+1/4,z+1/2;-y-1/4,-x+1/4,z+1/2;x,-y,z;-x,y+1/2,z;x+1/2,y+1/2,z;-y+3/4,x+3/4,z+1/2;y+1/4,-x+3/4,z+1/2;-y+3/4,-x+3/4,-z+1/2;y+1/4,x+3/4,-z+1/2;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;y+3/4,-x+3/4,-z+1/2;-y+1/4,x+3/4,-z+1/2;y+3/4,x+3/4,z+1/2;-y+1/4,-x+3/4,z+1/2;x+1/2,-y+1/2,z
